Fp2;F8;FT8;T8;TP8;P8;TP10;O2;Oz;O1;TP9;P7;TP7;T7;FT7;F7;FP1;AFz;F4;FC4;C4;CP4;P4;Pz;P3;CP3;C3;FC3;F3;Fz;FCz;CPz;Cz
-3.301;-3.095;-2.393;-1.347;-6.809;-18.679;-2.682;-11.954;-5.635;-4.589;1.038;-1.691;-0.895;-0.626;0.650;-0.877;-0.849;-0.746;1.478;5.662;7.348;0.815;-5.729;-3.907;-4.870;-6.512;-6.133;-3.699;-1.251;-1.486;1.596;-3.778;0.196
-4.980;-3.476;-2.471;-1.712;-6.228;-18.016;-2.474;-11.832;-6.224;-5.647;-0.616;-3.348;-2.298;-1.575;-1.426;-1.489;-2.267;-1.689;0.279;4.802;7.278;1.399;-5.179;-3.595;-5.411;-6.831;-6.249;-3.597;-1.330;-1.753;1.855;-2.879;1.380
-6.344;-3.608;-2.311;-2.101;-5.599;-16.821;-2.380;-11.555;-6.973;-6.808;-2.352;-4.642;-3.360;-2.197;-3.209;-1.831;-3.569;-2.421;-0.852;3.883;6.982;2.010;-4.530;-3.192;-5.698;-6.749;-5.917;-3.197;-1.163;-1.954;2.204;-1.699;2.788
-7.284;-3.567;-2.048;-2.277;-4.893;-15.116;-2.452;-11.169;-7.936;-8.065;-4.046;-5.498;-4.101;-2.545;-4.307;-1.806;-4.690;-2.880;-1.811;3.018;6.480;2.609;-3.786;-2.719;-5.749;-6.265;-5.134;-2.466;-0.708;-1.965;2.724;-0.369;4.328
-7.780;-3.450;-1.917;-2.066;-4.082;-12.938;-2.629;-10.615;-8.964;-9.259;-5.599;-5.872;-4.541;-2.711;-4.597;-1.501;-5.581;-3.078;-2.518;2.274;5.826;3.171;-2.911;-2.175;-5.556;-5.404;-3.979;-1.480;-0.034;-1.726;3.429;0.966;5.842
-7.798;-3.273;-2.104;-1.486;-3.150;-10.346;-2.795;-9.702;-9.710;-10.096;-6.902;-5.769;-4.671;-2.754;-4.191;-1.057;-6.121;-3.009;-2.857;1.704;5.111;3.693;-1.842;-1.551;-5.103;-4.223;-2.584;-0.377;0.739;-1.205;4.279;2.160;7.136
-7.305;-3.008;-2.653;-0.728;-2.126;-7.444;-2.870;-8.229;-9.810;-10.308;-7.761;-5.270;-4.471;-2.665;-3.355;-0.576;-6.181;-2.631;-2.718;1.339;4.418;4.152;-0.560;-0.875;-4.424;-2.837;-1.110;0.695;1.497;-0.394;5.171;3.055;7.987
-6.311;-2.643;-3.435;0.003;-1.076;-4.392;-2.835;-6.151;-9.110;-9.804;-7.931;-4.519;-3.948;-2.413;-2.370;-0.103;-5.702;-1.932;-2.073;1.174;3.779;4.488;0.867;-0.247;-3.623;-1.423;0.274;1.613;2.150;0.674;5.960;3.491;8.179
-4.883;-2.182;-4.192;0.615;-0.025;-1.332;-2.679;-3.565;-7.664;-8.641;-7.270;-3.635;-3.130;-1.971;-1.352;0.377;-4.713;-0.943;-0.983;1.196;3.187;4.658;2.331;0.210;-2.813;-0.141;1.450;2.328;2.670;1.939;6.515;3.381;7.582
-3.156;-1.612;-4.650;1.117;1.094;1.669;-2.359;-0.631;-5.641;-6.934;-5.844;-2.656;-2.051;-1.320;-0.208;0.918;-3.297;0.266;0.392;1.400;2.625;4.657;3.745;0.429;-2.061;0.923;2.389;2.862;3.107;3.330;6.757;2.757;6.202
